control_account,work_package,cam,month_end_date,hours
CA-001,WP-1001,Alice Smith,2024-01-15,8.0
CA-001,WP-1001,Bob Jones,2024-01-15,6.5
CA-001,WP-1002,Carol White,2024-01-16,8.0
CA-002,WP-2001,David Brown,2024-01-16,7.5
CA-002,WP-2001,Eve Black,2024-01-17,8.0
CA-002,WP-2002,Frank Green,2024-01-17,0.0
CA-003,WP-3001,Grace Lee,2024-01-18,8.0
CA-003,WP-3001,,2024-01-18,6.0
CA-003,WP-3002,Henry Adams,2024-01-19,8.0
CA-004,WP-4001,Irene Clark,2024-01-19,7.0
CA-004,WP-4001,James Wilson,2024-01-20,8.0
CA-004,WP-4002,Karen Davis,2024-01-20,0.0
CA-005,WP-5001,Leo Martinez,2024-01-21,8.0
CA-005,WP-5001,Mia Thompson,2024-01-21,5.5
CA-005,WP-5002,Nate Robinson,not-a-date,8.0
